AirTemp,BuiltSurface,Elevation,LST,LULC,NDBI,NDVI,PopulationDensity,UrbanClass,WaterDistance,WindSpeed,Longitude,Latitude
28.14696374,26,561,44.72753216,50,-0.027172786,0.402038505,219.9886627,30,235.3720459,2.087858749,73.78394194,18.56507547
28.1694283,51,556,45.56152904,50,0.038850213,0.095750128,187.5448151,30,100.4987562,2.192059992,73.93728652,18.51789
27.79409916,5,602,49.61871878,50,0.084166667,0.237264284,78.37249756,30,850.411665,1.964554078,73.79457558,18.50295112
28.14107453,0,802,48.8872625,30,0.139776514,0.166400851,0.0,11,870.9190548,2.550083672,74.0871566,18.42412693
28.63506505,0,570,47.88920066,40,-0.33509434,0.714147287,0.0,21,423.792402,2.199088634,73.90970339,18.64940182
28.52975997,1,562,45.99219956,10,-0.021772939,0.373040752,16.12486649,21,78.10249676,2.170833195,73.92816194,18.65740086
28.58830398,2,597,53.08800908,40,0.091085585,0.156442981,8.90968895,30,910.8238029,2.26777321,73.95385387,18.45895183
28.63506505,43,568,50.5791824,50,0.093051464,0.219478099,27.661623,30,326.9556545,2.199088634,73.89172515,18.58699685
28.9400636,0,543,46.38527186,40,-0.032708974,0.386116323,0.0,21,304.6309242,2.351222966,74.07725453,18.49608625
28.14696374,0,569,52.46934746,20,0.202018164,0.181003584,0.015752632,30,100.4987562,2.087858749,73.80414281,18.58025026
27.29891325,0,664,47.31839132,10,-0.044544868,0.579563944,1.762874961,21,107.7032961,1.673710019,73.74019507,18.49916874
27.79409916,35,563,43.96873172,50,0.033568527,0.223937178,637.4897461,30,164.0121947,1.964554078,73.83323674,18.50924347
29.12462849,55,575,50.84236994,50,0.10703043,0.105673452,38.41981506,21,362.3534186,2.241365912,73.95997969,18.64922115
28.94811934,0,574,46.6142792,10,-0.271596999,0.606282155,0.0,11,752.861209,2.199623125,74.05615345,18.68309763
29.12462849,0,557,55.08413276,30,0.212583413,0.153631285,0.0,21,502.1951812,2.241365912,73.98108698,18.5525729
27.71183371,12,574,46.15968254,50,-0.040518639,0.031417351,15.72112751,21,152.3154621,1.864115503,73.73340664,18.63805447
28.58830398,0,548,46.65871346,40,-0.078910753,0.424298085,0.0472579,12,449.1102315,2.26777321,74.0463385,18.54773275
28.63506505,0,575,51.01668896,20,-0.160778908,0.639328304,0.0,21,692.9646456,2.199088634,73.89101382,18.64844997
28.58830398,0,522,39.51846968,80,0.083032491,0.121412804,0.0,21,0.0,2.26777321,74.04090333,18.52524841
29.29183769,0,567,52.79747738,40,-0.017714484,0.344036697,0.13547264,12,122.0655562,2.224560324,74.08873869,18.57678353
27.62282456,0,595,49.95710276,30,0.016556291,0.216382253,12.61785889,12,363.4556369,2.332534389,74.02998636,18.44832101
29.29183769,0,553,51.76181732,10,0.060103627,0.234433481,1.275963306,12,588.3026432,2.224560324,74.06592032,18.56549645
28.88797394,0,557,41.94184586,40,-0.370943796,0.706891999,0.0,21,41.23105626,2.221364185,74.00703529,18.66531683
27.71183371,40,570,45.4008821,50,0.039552537,0.334443519,10.31167316,30,120.4159458,1.864115503,73.73749771,18.63969685
27.67938471,0,595,56.1163748,30,0.185595568,0.136231884,6.05403471,30,654.369926,1.956266523,73.72245062,18.67360168
28.63506505,0,589,54.55092164,30,0.170997355,0.181112835,0.0,21,302.3243292,2.199088634,73.90193203,18.63527156
27.31336457,0,646,54.30140618,40,0.130146711,0.156702329,0.0,30,568.594759,2.102473899,73.92408479,18.44247367
28.52975997,0,555,40.06535288,10,-0.147277596,0.512750098,0.0,12,110.4536102,2.170833195,73.9225527,18.65174519
28.52975997,0,592,54.14417726,30,0.045336529,0.092072196,2.97094655,21,384.1874542,2.170833195,73.87296889,18.65144891
27.79409916,0,592,50.05964336,30,0.222730242,0.172413793,0.0,12,545.8937626,1.964554078,73.77736858,18.47600285
28.14696374,0,591,46.83303248,10,0.106540084,0.374442191,177.9102325,30,184.3908891,2.087858749,73.81073557,18.63495644
27.31336457,0,821,45.0078098,20,0.195524578,0.199671772,0.0,11,158.113883,2.102473899,73.92150061,18.41272641
28.58830398,0,557,45.02831792,40,-0.168676935,0.613217213,0.0,21,349.2849839,2.26777321,73.99430405,18.47968966
27.67938471,0,581,48.65483714,30,0.070745698,0.247931526,1.1233145,30,197.9898987,1.956266523,73.70302074,18.67224558
27.29891325,0,766,46.4946485,30,0.082373397,0.228039558,0.0,12,590.9314681,1.673710019,73.74572285,18.52785828
27.79409916,24,610,43.0766285,50,-0.080704471,0.292592593,111.02771,30,477.0744177,1.964554078,73.84306464,18.4878349
29.12462849,0,550,41.8974116,80,-0.494600939,0.904007177,0.0,21,0.0,2.241365912,73.96852966,18.6328221
27.79409916,0,671,50.62019864,20,0.194426581,0.209916291,0.0,12,586.9412236,1.964554078,73.766949,18.53989408
27.67938471,0,633,49.91608652,30,0.163889475,0.336480108,0.236289486,21,291.5475947,1.956266523,73.74014742,18.68170633
28.1694283,62,659,45.92042114,50,0.138515745,0.057011618,164.4858398,30,381.8376618,2.192059992,73.87095974,18.45250725
28.63506505,0,570,46.14601046,10,0.19528447,0.283728536,0.0,30,53.85164807,2.199088634,73.89445969,18.57373017
28.14696374,19,560,50.5791824,20,0.078240096,0.174232818,80.84370422,30,427.2001873,2.087858749,73.84536822,18.55322082
28.88797394,0,552,42.02729636,40,-0.001205303,0.287855297,11.19382095,21,22.36067977,2.221364185,74.03587777,18.65905185
27.79409916,0,680,52.56505202,20,0.260234618,0.228139905,8.128358841,12,182.4828759,1.964554078,73.75973761,18.48650575
28.88797394,0,563,44.87792504,40,-0.274479737,0.657549858,0.0,11,478.0167361,2.221364185,73.97058715,18.68147591
27.14588591,33,607,44.02342004,50,0.062108032,0.086732302,171.2279663,30,930.0537619,1.810214569,73.81355858,18.44411958
28.58830398,33,596,50.23054436,50,-0.109166832,0.403976844,11.4521637,21,475.0789408,2.26777321,73.98143888,18.45326256
29.12462849,30,573,47.96097908,50,-0.010619469,0.306636156,36.37598038,30,666.0330322,2.241365912,73.99534159,18.574
28.1694283,0,609,53.49133544,30,0.148366922,0.197361993,30.73687172,30,1252.277924,2.192059992,73.91461661,18.47461631
28.94811934,24,572,52.70177282,50,-0.008210742,0.004602011,52.37545776,30,659.241989,2.199623125,74.09821763,18.65601803
27.14588591,0,665,50.78768162,30,0.099497861,0.311129163,6.679116249,21,951.3148795,1.810214569,73.80297029,18.42525846
27.62282456,0,728,45.68457776,20,0.164263959,0.234923492,0.0,11,389.4868419,2.332534389,74.00639179,18.42775738
28.63506505,0,596,51.19100798,30,0.186856174,0.152893326,11.52147579,30,311.1269837,2.199088634,73.85478498,18.63072466
29.12462849,0,559,43.845683,40,-0.227328182,0.659153381,0.0,21,90.0,2.241365912,73.96583707,18.63839068
28.63506505,0,629,56.76238058,30,0.201133145,0.154645669,0.0,30,629.6824597,2.199088634,73.8952473,18.61368714
27.31336457,53,720,45.92725718,50,0.129940828,0.04938624,212.3738403,30,300.8321791,2.102473899,73.85375874,18.44654734
27.71183371,36,579,49.64264492,50,0.038888889,0.169483341,17.28430939,30,384.7076812,1.864115503,73.73681874,18.63160145
27.71183371,92,640,47.87211056,50,0.100639215,0.082096226,10.78315163,21,170.8800749,1.864115503,73.70663227,18.5997744
27.79409916,15,629,45.29492348,50,-0.087255612,0.396744186,21.2167778,21,516.23638,1.964554078,73.76315311,18.52218761
28.14107453,7,831,51.40976126,40,0.087966221,0.117883841,9.491226196,12,385.8756276,2.550083672,74.05925837,18.40360278
28.14696374,0,557,41.8461413,10,-0.207180695,0.580123267,0.040956844,30,50.99019514,2.087858749,73.80200201,18.60285327
28.14107453,0,957,50.90047628,30,0.1453214,0.17995956,0.0,11,592.2837158,2.550083672,74.075916,18.40050108
27.29891325,0,730,56.52311918,30,0.196370968,0.219333129,1.526469231,21,80.62257748,1.673710019,73.71607454,18.49120207
27.29891325,0,620,49.11626984,20,0.003712601,0.406722171,0.0472579,11,944.2986816,1.673710019,73.74815905,18.46612215
29.12462849,13,569,52.2881924,50,0.034451496,0.231569818,34.90468216,21,676.2396025,2.241365912,73.99210654,18.56962588
